EAN13,DESCRICAO,CODIGO
7896004402192,AGUA DE COCO SOCOCO 1l ESPECIALISTAS    ,2289121
7898954424095,AGUA MINERAL ARMAZEM 10l S/GAS,1973541
ARMAZEM             ,AGUA MINERAL ARMAZEM 1,1973533
ARMAZEM             ,AGUA MINERAL ARMAZEM 1,1973517
7898954424217,AGUA MINERAL ARMAZEM 5l S/GAS,1973568
7898954424057,AGUA MINERAL ARMAZEM 510ml C/GAS,1973495
7898954424040,AGUA MINERAL ARMAZEM 510ml S/GAS,1973436
CRYSTAL             ,AGUA MINERAL CRYSTAL 1,1391518
CRYSTAL             ,AGUA MINERAL CRYSTAL 1,1391526
7894900530056,AGUA MINERAL CRYSTAL 5l DESCARTAVEL,1598902
7894900531008,AGUA MINERAL CRYSTAL 500ml C/GAS,1391500
7894900530001,AGUA MINERAL CRYSTAL 500ml S/GAS,1391496
7896468830166,AGUA MINERAL DA GUARDA 500ml S/GAS,985180
DA PEDRA            ,AGUA MINERAL DA PEDRA 1,2013789
7896436100604,AGUA MINERAL DA PEDRA 2l C/GAS,2020980
7896436103247,AGUA MINERAL DA PEDRA 350ml C/GAS LT    ,2265281
7896436103223,AGUA MINERAL DA PEDRA 350ml S/GAS LT    ,2265290
7896436100581,AGUA MINERAL DA PEDRA 5l DESC           ,2013959
